Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Year,Month,Quarter,Day_of_Week,Week_of_Year,Profit,Profit_Margin,Sales_Rep_Encoded,Region_Encoded,Product_Category_Encoded,Customer_Type_Encoded,Payment_Method_Encoded,Sales_Channel_Encoded
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,2023,2,1,4,5,2304.4700000000003,45.5972235687984,1,1,3,1,1,0
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,2023,4,2,4,16,-60494.61,-1379.889005980812,1,3,3,1,1,1
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,2023,9,3,3,38,-3215.5700000000006,-69.43231063885837,3,2,2,1,0,1
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,2023,8,3,3,34,-166703.22999999998,-7689.476184765261,1,2,0,0,2,1
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,2023,3,1,4,12,-4535.61,-120.94314969868275,2,0,1,0,2,0
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,2023,2,1,5,6,-25064.129999999997,-666.3953843904125,2,3,2,0,1,0
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,2023,4,2,1,15,-69237.18000000001,-11197.810159952129,1,3,3,1,1,0
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,2023,1,1,4,1,-162616.54,-2112.1993734186094,4,2,3,0,0,0
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,2023,6,2,3,26,-17918.41,-424.2660516788645,3,2,3,0,0,0
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,2023,10,4,0,41,-31870.719999999994,-386.80029807344545,2,3,0,0,0,0
